1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
465	-1.513652	9.312041	0.003728	27.0
466	-1.503470	9.301194	0.003750	27.0
467	-1.497029	9.290380	0.003996	26.9
468	-1.495890	9.279600	0.003802	30.0
469	-1.519084	9.268853	0.003795	26.8
470	-1.501694	9.258139	0.003633	28.5
471	-1.503941	9.247458	0.003606	29.5
472	-1.510703	9.236809	0.003687	26.8
473	-1.519155	9.226193	0.003873	26.8
474	-1.511705	9.215610	0.003994	26.9
475	-1.498323	9.205059	0.003719	26.8
476	-1.502347	9.194540	0.003804	26.8
477	-1.511347	9.184053	0.003718	29.5
478	-1.512474	9.173597	0.003618	27.2
479	-1.508059	9.163174	0.003661	27.2
480	-1.507473	9.152781	0.003967	27.0
481	-1.507028	9.142420	0.003847	27.3
482	-1.512216	9.132091	0.003799	27.1
483	-1.517019	9.121792	0.003575	27.2
484	-1.532914	9.111524	0.003897	26.8
485	-1.514321	9.101287	0.003663	32.6
486	-1.514415	9.091080	0.003784	30.1
487	-1.504926	9.080904	0.003628	26.9
488	-1.512439	9.070757	0.003921	28.5
489	-1.501833	9.060642	0.003936	27.0
490	-1.502416	9.050556	0.003785	26.9
491	-1.492889	9.040499	0.003647	26.6
492	-1.499953	9.030473	0.003634	27.2
493	-1.492324	9.020476	0.004024	27.0
494	-1.506480	9.010508	0.003769	27.1
495	-1.495208	9.000570	0.003560	26.8
496	-1.507461	8.990661	0.003629	26.9
497	-1.488529	8.980781	0.003564	26.9
498	-1.512471	8.970929	0.003715	27.1
499	-1.499037	8.961107	0.003571	27.0
