1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
446	-1.047216	256.047920	1.861484	0.002884	21.8
447	-1.049722	256.034245	1.861575	0.010392	20.0
448	-1.049982	257.034192	1.854880	0.003058	19.6
449	-1.049668	257.020520	1.854972	0.010335	19.4
450	-1.047338	257.100292	1.854439	0.004755	19.6
451	-1.049850	258.100213	1.847796	0.005280	20.4
452	-1.048735	258.086907	1.847884	0.005456	19.4
453	-1.046612	259.085388	1.841296	0.004536	19.8
454	-1.062758	259.092060	1.841252	0.008677	22.5
455	-1.055780	259.078385	1.841342	0.004261	21.4
456	-1.052478	259.065300	1.841428	0.019442	20.0
457	-1.045184	260.065300	1.834877	0.006273	19.6
458	-1.054703	261.065300	1.828371	0.004948	22.3
459	-1.050417	261.051630	1.828460	0.009294	22.3
460	-1.045612	261.039073	1.828541	0.002774	19.8
461	-1.043425	261.025402	1.828630	0.002936	20.1
462	-1.053441	261.012613	1.828713	0.007336	19.5
463	-1.048827	261.420107	1.826074	0.006839	19.5
464	-1.059384	261.406433	1.826163	0.017064	19.8
465	-1.052978	262.405401	1.819726	0.011781	19.7
466	-1.053143	263.405401	1.813328	0.002490	19.7
467	-1.050362	263.396302	1.813386	0.005514	19.9
468	-1.058984	263.385543	1.813454	0.007688	19.3
469	-1.057271	263.371869	1.813541	0.004804	19.6
470	-1.049751	264.371867	1.807186	0.005690	19.9
471	-1.053981	264.358193	1.807273	0.007629	19.9
472	-1.060675	265.358193	1.800962	0.004958	19.9
473	-1.049054	265.346733	1.801034	0.004351	20.0
474	-1.049189	265.478344	1.800206	0.018738	20.9
475	-1.051075	266.478343	1.793944	0.009042	19.7
476	-1.052343	267.478343	1.787726	0.011666	19.7
477	-1.048545	267.464669	1.787810	0.007539	19.4
478	-1.057042	268.464669	1.781634	0.011077	23.6
479	-1.046847	268.451088	1.781718	0.012895	19.3
480	-1.045260	269.451088	1.775583	0.007742	19.4
481	-1.046621	269.437414	1.775667	0.008969	22.3
482	-1.049906	269.423741	1.775751	0.005061	19.4
483	-1.057778	270.347669	1.770119	0.003902	19.6
484	-1.044694	270.334246	1.770201	0.007206	19.5
485	-1.043312	271.325613	1.764198	0.003765	19.3
486	-1.057743	271.311955	1.764280	0.009165	19.9
487	-1.052464	272.311925	1.758265	0.009587	19.9
488	-1.045931	272.450605	1.757434	0.006613	19.2
489	-1.053686	272.437040	1.757516	0.007727	20.0
490	-1.041355	272.423367	1.757597	0.006508	20.1
491	-1.053241	272.409693	1.757679	0.003900	20.2
492	-1.052151	272.396212	1.757760	0.003561	19.8
493	-1.051754	272.430930	1.757552	0.005731	19.7
494	-1.046230	273.374308	1.751920	0.007222	19.4
495	-1.044661	273.362765	1.751988	0.007563	20.4
496	-1.056457	273.350407	1.752062	0.004865	20.0
497	-1.056429	273.336732	1.752143	0.008924	19.4
498	-1.068264	274.336731	1.746211	0.004271	21.2
499	-1.062073	274.323057	1.746292	0.008814	19.8
500	-1.041939	275.323052	1.740398	0.004337	22.2
501	-1.052177	276.322939	1.734545	0.012153	19.9
502	-1.055805	276.309970	1.734621	0.012224	21.1
503	-1.057532	277.309970	1.728806	0.015122	19.7
504	-1.063976	277.296296	1.728886	0.004005	20.7
505	-1.055791	277.483370	1.727802	0.007785	19.3
506	-1.056176	277.469696	1.727881	0.006838	19.6
507	-1.056815	277.456022	1.727960	0.006230	19.7
508	-1.052166	277.442348	1.728039	0.007297	19.7
509	-1.052764	278.437971	1.722294	0.012161	19.5
